name,artists,album,release_date,popularity,duration_ms,url,release_year,artist_count,track_age,danceability,energy,valence,tempo,loudness
Butter,['BTS'],"Butter (Hotter, Sweeter, Cooler)",04-06-2021,65,164441,https://open.spotify.com/track/1mWdTewIgB3gtBM3TOSFhB,2021,1,3,0.759,0.459,0.695,109.997,-5.187
Neva Play (feat. RM of BTS),"['Megan Thee Stallion', 'RM']",Neva Play (feat. RM of BTS),06-09-2024,84,157173,https://open.spotify.com/track/2ZqTbIID9vFPTXaGyzbb4q,2024,2,0,0.826,0.756,0.794,160.01,-4.984
Dynamite,['BTS'],BE,20-11-2020,78,199053,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW,2020,1,4,0.746,0.765,0.737,114.044,-4.41
Run BTS,['BTS'],Proof,10-06-2022,73,204939,https://open.spotify.com/track/69xohKu8C1fsflYAiSNbwM,2022,1,2,0.724,0.818,0.696,77.004,-3.747
FAKE LOVE,['BTS'],Love Yourself 轉 'Tear',18-05-2018,73,242333,https://open.spotify.com/track/6m1TWFMeon7ai9XLOzdbiR,2018,1,6,0.557,0.719,0.345,77.502,-4.515
BTS Cypher 4,['BTS'],Wings,10-10-2016,59,294463,https://open.spotify.com/track/4cTSnpyaIR1qGaTOLJunDM,2016,1,8,0.817,0.797,0.361,119.978,-4.395
Boy With Luv (feat. Halsey),"['BTS', 'Halsey']",MAP OF THE SOUL : PERSONA,12-04-2019,73,229773,https://open.spotify.com/track/4a9tbd947vo9K8Vti9JwcI,2019,2,5,0.645,0.862,0.803,119.947,-4.761
BTS Cypher Pt.3: Killer,"['BTS', 'Supreme Boi']",Dark & Wild,20-08-2014,59,267782,https://open.spotify.com/track/5OlieB5VdsOMuBuCtllXGW,2014,2,10,0.793,0.924,0.665,140.031,-3.017
IDOL,['BTS'],Love Yourself 結 'Answer',24-08-2018,69,222732,https://open.spotify.com/track/1e8J3XClxZbFmvIHLI8CE4,2018,1,6,0.733,0.855,0.42,126.035,-3.211
Left and Right (Feat. Jung Kook of BTS),"['Charlie Puth', 'Jung Kook', 'BTS']",CHARLIE,06-10-2022,75,154486,https://open.spotify.com/track/5Odq8ohlgIbQKMZivbWkEo,2022,3,2,0.881,0.592,0.719,101.058,-4.898
